Bank pays you dividend of $50,8,50
Doctor's fee—Pay $50,8,-50
From sale of stock you get $50,8,50
Pay hospital fees of $100,8,-100
Holiday Fund matures—Receive $100,8,100
It is your birthday—Collect $10,8,10
Life insurance matures–Collect $100,8,100
Pay school fees of $150,8,-150
Receive $25 consultancy fee,8,25
Income tax refund–Collect $20,8,20
You have won second prize in a beauty contest–Collect $10,8,10
You inherit $100,8,100
Advance to Go (Collect $200),10,0,200,
You are assessed for street repairs–$40 per house–$115 per hotel,5,40,115
Get Out of Jail Free,1,
Grand Opera Night—Collect $50 from every player for opening night seats,3,50
Go to Jail–Go directly to Jail–Do not pass Go. do not collect $200,3,10,